,0
0,Minnesota
1,Mississippi
2,Wisconsin
3,New York
4,Idaho
5,South Dakota
6,Montana
7,Pennsylvania
8,Georgia
9,Texas
10,Michigan
11,Virginia
12,New Hampshire
13,West Virginia
14,Oklahoma
15,Nebraska
16,North Dakota
17,Louisiana
18,Utah
19,Washington
20,Maryland
21,South Carolina
22,Wyoming
23,North Carolina
24,New Mexico
25,Rhode Island
26,Tennessee
27,Vermont
28,Missouri
29,Kentucky
30,Oregon
31,Nevada
32,Ohio
33,New Jersey
34,Kansas
35,Massachusetts
36,Florida
37,Maine
38,Indiana
39,Illinois
40,Iowa
41,Hawaii
